NNI,RY
0.3982832618025752, 0.34056720098643645
0.5210300429184549, 0.4392108508014797
0.6068669527896996, 0.6907521578298398
0.6540772532188841, 0.7018495684340321
0.6935622317596567, 0.669790382244143
0.6824034334763949, 0.6315659679408138
0.6866952789699571, 0.6093711467324291
0.8257510729613734, 0.7906288532675709
0.8377682403433476, 0.8387176325524045
0.8618025751072962, 0.8300863131935883
0.8051502145922746, 0.9127003699136869
0.809442060085837, 0.9509247842170161
0.7802575107296137, 0.9718865598027128
0.8961373390557941, 0.9213316892725032
0.9167381974248927, 0.9521578298397042
0.9296137339055794, 0.8905055487053022
0.9493562231759656, 0.9607891491985203
0.9459227467811159, 1.0014796547472258
0.9690987124463519, 0.980517879161529
0.9828326180257512, 0.9817509247842171
0.9982832618025752, 0.979284833538841
1.004291845493562, 1.00517879161529
1.015450643776824, 1.0027127003699137
0.9888412017167382, 0.9509247842170161
0.9896995708154507, 0.9102342786683107
1.023175965665236, 0.9422934648581998
1.040343347639485, 0.9718865598027128
1.0412017167381973, 1.0027127003699137
1.0755364806866952, 1.0014796547472258
1.109871244635193, 0.9903822441430333
1.1330472103004292, 0.9903822441430333
1.1321888412017167, 1.0014796547472258
1.1433476394849784, 1.0014796547472258
1.1931330472103003, 0.949691738594328
